TEST NAME,PRICE IN RUPEES
DEHYDROEPIANDROSTERONE SULPHATE - DHEA SO4,3060
"VITAMIN D, ULTRASENSITIVE",3600
CLOTTING TIME (CT),60
"CULTURED AFB ANTITUBERCULAR DST, ISONIAZID",3780
FREE LIGHT CHAIN KAPPA / LAMDA - URINE,8340
AFB - STAINING,720
HEPATITIS C ANTIBODY (Anti-HCV),600
ANTI Ds DNA,2640
CANAVAN DISEASE,24000
24 Hrs URINE URIC ACID,160
TOTAL PROTEIN,300
"CADMIUM, 24-HOUR URINE",6240
ANTI DNase B,5820
BETA2 MICROGLOBULIN - BLOOD,3060
MRI - BRAIN WITH WHOLE SPINE,9000
CELL COUNT and CELL TYPE CSF,660
MTB - GENEXPERT CSF,2880
24 Hrs URINE SODIUM,612
MEAN CORPUSCULAR VOLUME - MCV,150
LDL CHOLESTEROL - DIRECT,180
"ZINC, RANDOM URINE",3084
X-RAY - KNEE LAT,350
ANTI IA-2 (INSULINOMA ASSOCIATED ANTIGEN),6600
MRI - PELVIS WITH CONTRAST,8400
ANTI GLIADIN ANTIBODY - IgA,3672
MRI - FOOT WITH ANKLE,7200
"MERCURY, 24-HOUR",5400
X-RAY - BOTH HIP AP / LAT,500
MAMMOGRAPHY - BOTH BREAST,3000
"C-PEPTIDE, FASTING, SERUM",1680
X-RAY - ANKLE AP VIEW,350
LITHIUM,984
HEMATOCRIT,420
FRACTIONAL EXCRETION OF SODIUM - FeNa,1800
ANTISTREPTOLYSIN O TITER - ASO,180
URINE PROTEIN,600
FECAL NITROGEN,4560
"VMA (VANILMANDELIC ACID),24 HOUR URINE",4680
CULTURE AND SUSCEPTIBILITY - URINE,600
ESTRADIOL (E2),960
GM1 GANGLIOSIDOSIS QUANTITATIVE,14400
ALLERGIC PROFILE - NON VEGETARIAN FOOD,15240
ESTRIOL - URINE,960
CULTURE,600
"G-6-PD, NEWBORN SCREEN",1080
"ELECTROLYTES, 24 HOUR URINE",756
ALBUMIN - SERUM,180
CT - CHEST WITH ABDOMEN,10200
"CULTURE KPC (CARBAPENEMASE), SCREENING",1200
"CRYPTOSPORIDIUM / ISOSPORA IDENTIFICATION, STOOL",696
DENGUE - IgM - RAPID,1140
CT - RIGHT KNEE,5400
COPROPORPHYRIN,7800
"CYTOMEGALOVIRUS, INTERFERON GAMMA RELEASE ASSAY (IGRA)",4200
LEUKOCYTE COUNT - URINE,240
LYMPHOCYTE SUBSETS,9960
AUTOIMMUNE LIVER DISEASES PROFILE IgG,10440
CT - BRAIN WITH ORBIT,6240
LE CELL PHENOMENON,528
ANTI HBs,1440
HLA B 51,6372
CAMPYLOBACTER ANTIGEN,2400
"TUMOUR NECROSIS FACTOR (TNF) ALPHA, SERUM",5760
CULTURE AND SENSITIVITY - PUS,600
VANCOMYCIN,9180
X-RAY - FOOT LATERAL VIEW,350
BIOPSY MEDIUM - 1,1440
X-RAY - PNS,350
